"Detection","RecSN","dtf","Hex","Tilt","Volt","Temp","Pres","Amp","Freq","Thresh","nbw","snr","Valid","nPRI","tdiff","winmax"
"  11270","15-6003",2017-04-21 08:46:29,"32DD",39.7,3.53,14.5,0,1106,-276,100,639,7.9,1,5,NA,2017-04-21 08:47:48
"  11032","15-6003",2017-04-20 22:45:30,"3325",41.4,3.52,15.5,0,822,-558,100,657,5,1,5,NA,2017-04-20 22:46:49
"   1058","15-6003",2017-03-09 02:35:38,"3353",90,3.83,11,0,102,-384,100,0,20.2,1,5,NA,2017-03-09 02:36:57
"   8319","15-6003",2017-04-06 05:30:25,"3354",44.1,3.58,14.2,0,3912,933,100,592,19.5,1,5,NA,2017-04-06 05:31:44
"   2085","15-6003",2017-03-13 06:18:31,"336D",89.8,3.81,8.5,0,96,-1901,100,12,18.1,1,5,NA,2017-03-13 06:19:50
"   1843","15-6003",2017-03-12 02:56:24,"342A",89.7,3.81,12,0,99,-1863,100,8,19.9,1,5,NA,2017-03-12 02:57:43
"  16216","15-6003",2017-05-21 07:49:54,"342A",36,3.3,15.7,0,439,-2546,100,748,-99,1,5,6065610.03455091,2017-05-21 07:51:13
"   7570","15-6003",2017-03-29 07:33:28,"342D",39.9,3.64,13.9,0,645,-74,100,561,4.3,1,5,NA,2017-03-29 07:34:47
"   2370","15-6003",2017-03-14 08:21:35,"3453",88.2,3.8,10.3,0,114,-1827,100,16,17.1,1,5,NA,2017-03-14 08:22:54
"    473","15-6003",2017-03-05 11:29:02,"3475",89.9,3.86,9.9,0,92,2554,100,7,19.3,1,5,NA,2017-03-05 11:30:21
"    144","15-6003",2017-03-02 16:22:11,"3491",90,3.89,26.6,0,95,1254,100,2,19.6,1,5,NA,2017-03-02 16:23:30
"    241","15-6003",2017-03-03 18:00:20,"3493",89.8,3.87,18.8,0,104,-538,100,6,20.3,1,5,NA,2017-03-03 18:01:39
"  15657","15-6003",2017-05-04 07:38:32,"349A",51.3,3.44,17.7,0,910,-731,100,832,3.9,1,5,60.4884569644928,2017-05-04 07:39:51
"   3211","15-6003",2017-03-23 23:30:44,"34AF",49.9,3.71,14.1,0,687,721,100,644,3.7,1,5,NA,2017-03-23 23:32:03
"   3212","15-6003",2017-03-23 23:31:19,"34AF",45.4,3.7,13.9,0,915,311,100,553,7.5,1,5,34.9448349475861,2017-03-23 23:32:38
"   3213","15-6003",2017-03-23 23:31:24,"34AF",42.6,3.71,13.9,0,630,138,100,620,3.2,1,5,4.99151492118835,2017-03-23 23:32:43
"   3227","15-6003",2017-03-23 23:34:44,"34AF",38.1,3.71,14.1,0,772,945,100,608,5.2,1,5,199.701201915741,2017-03-23 23:36:03
"   3240","15-6003",2017-03-23 23:35:34,"34AF",35,3.72,13.9,0,620,342,100,601,3.4,1,5,49.9250931739807,2017-03-23 23:36:53
"   4369","15-6003",2017-03-24 02:03:44,"34CB",49.7,3.69,13.6,0,869,451,100,580,6.6,1,5,NA,2017-03-24 02:05:03
"   1092","15-6003",2017-03-09 05:53:00,"34D3",90,3.83,9.4,0,98,-1825,100,0,19.8,1,5,NA,2017-03-09 05:54:19
"   7512","15-6003",2017-03-28 17:56:09,"34D3",43.2,3.65,14.1,0,676,412,100,598,4.2,1,5,1684989.25575399,2017-03-28 17:57:28
"   7513","15-6003",2017-03-28 17:56:29,"34D3",37.3,3.66,13.9,0,934,-167,100,601,6.9,1,5,19.8580169677734,2017-03-28 17:57:48
"   7514","15-6003",2017-03-28 17:56:39,"34D3",45.5,3.67,14,0,1069,-30,100,608,8,1,5,9.93035101890564,2017-03-28 17:57:58
"   7726","15-6003",2017-03-31 11:40:11,"34D9",40.8,3.62,13.8,0,527,1309,100,395,4.4,1,5,NA,2017-03-31 11:41:30
"   7727","15-6003",2017-03-31 11:41:22,"34D9",41.2,3.64,14,0,651,840,100,370,6.8,1,5,70.1001651287079,2017-03-31 11:42:41
"   7728","15-6003",2017-03-31 11:41:27,"34D9",40.6,3.64,13.9,0,663,384,100,363,7.2,1,5,5.00820994377136,2017-03-31 11:42:46
"   7729","15-6003",2017-03-31 11:41:32,"34D9",40.6,3.64,13.9,0,726,721,100,369,7.8,1,5,5.01076292991638,2017-03-31 11:42:51
"   7397","15-6003",2017-03-28 11:24:30,"34EA",53.7,3.66,14.3,0,2020,706,100,631,13.2,1,5,49.2726957798004,2017-03-28 11:25:49
"   7487","15-6003",2017-03-28 11:41:16,"34EA",42.7,3.67,13.8,0,1409,350,100,462,11.6,1,5,49.2854018211365,2017-03-28 11:42:35
"   7488","15-6003",2017-03-28 11:42:20,"34EA",33.3,3.66,13.8,0,1051,714,100,480,8.7,1,5,64.0715761184692,2017-03-28 11:43:39
