"Filename","RecSN","DT","FracSec","Hex","CRC","validFlag","TagAmp","NBW","nPRI","dtf","tdiff","winmax"
"2015-6034170371415","2015-6034","02/14/2017 02:32:33",0.984075,"2ED4","4C",0,126,48,5,2017-02-14 02:32:33,23028.7145140171,2017-02-14 02:33:52
"2015-6034170371415","2015-6034","02/11/2017 10:16:34",0.804223,"2ED6","C8",0,84,0,5,2017-02-11 10:16:34,NA,2017-02-11 10:17:53
"2015-6034170371415","2015-6034","02/13/2017 06:53:44",0.102743,"2ED6","33",0,102,16,5,2017-02-13 06:53:44,160629.29851985,2017-02-13 06:55:03
"2015-6034170371415","2015-6034","02/13/2017 11:05:37",0.124427,"2ED6","4B",0,134,49,5,2017-02-13 11:05:37,15113.0216841698,2017-02-13 11:06:56
"2015-6034170371415","2015-6034","02/07/2017 02:57:46",0.104858,"2ED7","95",0,88,0,5,2017-02-07 02:57:46,NA,2017-02-07 02:59:05
"2015-6034170371415","2015-6034","02/09/2017 08:49:18",0.68205,"2ED7","A1",0,96,0,5,2017-02-09 08:49:18,193892.577192068,2017-02-09 08:50:37
"2015-6034170371415","2015-6034","02/13/2017 13:44:26",0.662673,"2ED9","AB",0,90,16,5,2017-02-13 13:44:26,NA,2017-02-13 13:45:45
"2015-6034170371415","2015-6034","02/13/2017 20:19:30",0.845047,"2ED9","02",0,128,51,5,2017-02-13 20:19:30,23704.1823740005,2017-02-13 20:20:49
"2015-6034170371415","2015-6034","02/13/2017 21:06:05",0.241708,"2ED9","1D",0,84,5,5,2017-02-13 21:06:05,2794.39666104317,2017-02-13 21:07:24
"2015-6034170371415","2015-6034","02/12/2017 21:07:15",0.434461,"2EDA","CE",0,82,0,5,2017-02-12 21:07:15,NA,2017-02-12 21:08:34
"2015-6034170371415","2015-6034","02/13/2017 17:05:26",0.567638,"2EDA","3C",0,117,20,5,2017-02-13 17:05:26,71891.1331768036,2017-02-13 17:06:45
"2015-6034170371415","2015-6034","02/13/2017 20:11:19",0.936903,"2EDA","1C",0,127,57,5,2017-02-13 20:11:19,11153.3692650795,2017-02-13 20:12:38
"2015-6034170371415","2015-6034","02/13/2017 20:25:04",0.285414,"2EDA","DB",0,118,59,5,2017-02-13 20:25:04,824.348510980606,2017-02-13 20:26:23
"2015-6034170371415","2015-6034","02/14/2017 09:39:00",0.324238,"2EDA","6C",0,107,16,5,2017-02-14 09:39:00,47636.0388240814,2017-02-14 09:40:19
"2015-6034170371415","2015-6034","02/13/2017 19:52:04",0.438985,"2EDB","E2",0,130,53,5,2017-02-13 19:52:04,NA,2017-02-13 19:53:23
"2015-6034170371415","2015-6034","02/07/2017 01:28:32",0.481364,"2EDD","33",0,95,0,5,2017-02-07 01:28:32,NA,2017-02-07 01:29:51
"2015-6034170371415","2015-6034","02/10/2017 02:03:38",0.225562,"2EDD","A7",0,86,0,5,2017-02-10 02:03:38,261305.744198084,2017-02-10 02:04:57
"2015-6034170371415","2015-6034","02/11/2017 07:44:00",0.727271,"2EDD","24",0,67,0,5,2017-02-11 07:44:00,106822.501708984,2017-02-11 07:45:19
"2015-6034170371415","2015-6034","02/13/2017 20:24:03",0.480761,"2EDD","C1",0,117,55,5,2017-02-13 20:24:03,218402.753489971,2017-02-13 20:25:22
"2015-6034170371415","2015-6034","02/14/2017 02:15:30",0.501703,"2EDD","88",0,118,47,5,2017-02-14 02:15:30,21087.0209419727,2017-02-14 02:16:49
"2015-6034170371415","2015-6034","02/06/2017 21:00:12",0.561685,"2EE5","32",0,86,0,5,2017-02-06 21:00:12,NA,2017-02-06 21:01:31
"2015-6034170371415","2015-6034","02/13/2017 01:34:24",0.210354,"2EE5","4B",0,91,0,5,2017-02-13 01:34:24,534851.648669004,2017-02-13 01:35:43
"2015-6034170371415","2015-6034","02/14/2017 04:36:47",0.465859,"2EE5","F3",0,115,7,5,2017-02-14 04:36:47,97343.2555048466,2017-02-14 04:38:06
"2015-6034170371415","2015-6034","02/11/2017 14:04:42",0.695754,"2EE9","27",0,82,6,5,2017-02-11 14:04:42,NA,2017-02-11 14:06:01
"2015-6034170371415","2015-6034","02/13/2017 14:32:31",0.804231,"2EE9","F3",0,101,8,5,2017-02-13 14:32:31,174469.108476877,2017-02-13 14:33:50
"2015-6034170371415","2015-6034","02/13/2017 20:02:02",0.857212,"2EE9","FE",0,130,60,5,2017-02-13 20:02:02,19771.0529811382,2017-02-13 20:03:21
"2015-6034170371415","2015-6034","02/07/2017 05:13:25",0.302853,"2EEA","37",0,90,0,5,2017-02-07 05:13:25,NA,2017-02-07 05:14:44
"2015-6034170371415","2015-6034","02/12/2017 09:55:27",0.011605,"2EEA","16",0,70,0,5,2017-02-12 09:55:27,448921.708751917,2017-02-12 09:56:46
"2015-6034170371415","2015-6034","02/13/2017 20:05:33",0.146604,"2EEA","3B",0,146,76,5,2017-02-13 20:05:33,123006.134999037,2017-02-13 20:06:52
"2015-6034170371415","2015-6034","05/28/2017 19:44:19",0.348701,"2EEA","2A",1,100,18,5,2017-05-28 19:44:19,8984326.20209694,2017-05-28 19:45:38
"2015-6034170371415","2015-6034","02/11/2017 06:18:57",0.27202,"2EEB","2B",0,76,0,5,2017-02-11 06:18:57,NA,2017-02-11 06:20:16
