"Detection","RecSN","dtf","Hex","Tilt","Volt","Temp","Pres","Amp","Freq","Thresh","nbw","snr","Valid","nPRI","tdiff","winmax"
"  69020","15-6034",2017-02-12 20:40:31,"00C9",90.9,3.95,20.6,0,88,-669,100,0,18.9,0,5,NA,2017-02-12 20:41:50
"  85501","15-6034",2017-02-13 11:10:12,"00C9",92.5,3.96,17.7,0,119,-1883,100,40,9.5,0,5,52180.9348928928,2017-02-13 11:11:31
" 107403","15-6034",2017-02-13 20:05:25,"00C9",97.2,3.94,18.4,0,126,371,100,70,5.1,0,5,32112.6718370914,2017-02-13 20:06:44
"  26128","15-6034",2017-02-09 12:36:12,"00CA",91.1,3.98,22,0,104,-2669,100,15,16.8,0,5,NA,2017-02-09 12:37:31
"  42528","15-6034",2017-02-10 16:33:55,"00CA",91,3.98,21.4,0,88,-2580,100,8,18.9,0,5,100663.055798054,2017-02-10 16:35:14
"  76257","15-6034",2017-02-13 06:41:48,"00CA",91.2,3.96,19.5,0,13889,10,100,24,55.2,1,5,223672.653231144,2017-02-13 06:43:07
"  76259","15-6034",2017-02-13 06:41:53,"00CA",91.2,3.96,19.5,0,15578,-29,100,15,60.3,1,5,5.07345080375671,2017-02-13 06:43:12
"  76290","15-6034",2017-02-13 06:45:07,"00CA",90.9,3.95,19.1,0,13689,170,100,28,53.8,1,5,193.934087991714,2017-02-13 06:46:26
"  76291","15-6034",2017-02-13 06:45:12,"00CA",91.1,3.96,19.2,0,13580,347,100,15,59.1,1,5,5.06802701950073,2017-02-13 06:46:31
"  88716","15-6034",2017-02-13 13:43:28,"038C",90.7,3.96,20.9,0,100,-2721,100,17,15.4,0,5,NA,2017-02-13 13:44:47
" 107197","15-6034",2017-02-13 20:05:15,"038C",97.2,3.94,18.4,0,133,-1263,100,69,5.7,0,5,22907.0861620903,2017-02-13 20:06:34
" 109244","15-6034",2017-02-13 20:06:54,"038C",95.5,3.94,17.7,0,120,-440,100,55,6.8,0,5,98.1257178783417,2017-02-13 20:08:13
" 110025","15-6034",2017-02-13 20:07:30,"038C",89.5,3.95,18.2,0,105,-2023,100,53,5.9,0,5,36.675341129303,2017-02-13 20:08:49
" 134684","15-6034",2017-02-14 02:19:00,"038C",90.5,3.95,14.2,0,108,-1997,100,48,7,0,5,22289.9529509544,2017-02-14 02:20:19
" 139763","15-6034",2017-02-14 02:26:16,"038C",90.5,3.95,14.3,0,115,-154,100,58,5.9,0,5,436.274514913559,2017-02-14 02:27:35
" 151046","15-6034",2017-02-26 12:20:26,"038C",91,3.88,14.2,0,13086,-535,100,23,55.1,1,5,1072449.43649197,2017-02-26 12:21:45
"  36722","15-6034",2017-02-10 04:48:46,"2ECB",91.1,3.98,20.9,0,73,-2153,100,0,17.3,0,5,NA,2017-02-10 04:50:05
"  41789","15-6034",2017-02-10 16:03:47,"2ECB",91,3.98,21.2,0,103,-1793,100,8,20.3,0,5,40501.014580965,2017-02-10 16:05:06
" 152237","15-6034",2017-04-11 09:26:20,"2ECB",27.8,3.56,15.2,0,730,577,100,133,16.7,1,5,5160152.87886,2017-04-11 09:27:39
" 152256","15-6034",2017-04-11 09:30:48,"2ECB",28.2,3.57,15.7,0,524,361,100,153,12.6,1,5,79.5904359817505,2017-04-11 09:32:07
"  40988","15-6034",2017-02-10 15:26:21,"2ECD",91.1,3.97,21.8,0,108,-1951,100,6,20.7,0,5,NA,2017-02-10 15:27:40
"  78595","15-6034",2017-02-13 08:07:25,"2ECD",96.4,3.96,14.7,0,92,-1687,100,8,19.3,0,5,232864.008934021,2017-02-13 08:08:44
"  86902","15-6034",2017-02-13 12:19:38,"2ECD",92.4,3.94,19.4,0,94,-348,100,4,19.5,0,5,15132.9236838818,2017-02-13 12:20:57
" 131637","15-6034",2017-02-14 01:19:25,"2ECD",90.3,3.95,14.3,0,96,34,100,8,19.6,0,5,46786.7689871788,2017-02-14 01:20:44
" 141405","15-6034",2017-02-14 02:31:23,"2ECD",90.3,3.95,14.2,0,98,-810,100,50,5.8,0,5,4317.87638378143,2017-02-14 02:32:42
"  17635","15-6034",2017-02-07 18:25:54,"2ED1",96.1,4,21.7,0,93,813,100,0,19.4,0,5,NA,2017-02-07 18:27:13
"  58483","15-6034",2017-02-12 01:48:40,"2ED1",91,3.97,19.3,0,84,-1598,100,0,18.5,0,5,372165.301300049,2017-02-12 01:49:59
"  59171","15-6034",2017-02-12 02:40:10,"2ED2",91,3.95,19.9,0,89,-2364,100,0,19,0,5,NA,2017-02-12 02:41:29
"   7975","15-6034",2017-02-06 23:56:14,"2ED3",96.3,4.02,20.9,0,90,-2164,100,0,19.1,0,5,NA,2017-02-06 23:57:33
"  22430","15-6034",2017-02-08 20:28:47,"2ED3",96.1,3.98,21.2,0,95,12,100,0,19.6,0,5,160352.869512081,2017-02-08 20:30:06
"  24999","15-6034",2017-02-09 08:23:30,"2ED3",96.3,3.98,21.3,0,101,46,100,0,20.1,0,5,42883.7171239853,2017-02-09 08:24:49
"  49534","15-6034",2017-02-11 11:02:11,"2ED3",91.2,3.96,20.7,0,93,-2782,100,0,19.4,0,5,182320.359671831,2017-02-11 11:03:30
"  59591","15-6034",2017-02-12 03:11:04,"2ED3",90.9,3.96,19.8,0,82,223,100,0,18.3,0,5,58132.9323120117,2017-02-12 03:12:23
" 130136","15-6034",2017-02-14 00:00:58,"2ED3",90.2,3.95,15.4,0,92,-1647,100,2,19.3,0,5,161394.526688099,2017-02-14 00:02:17
"   1917","15-6034",2017-02-06 17:17:56,"2ED4",96.3,4.02,21,0,68,394,100,0,16.7,0,5,NA,2017-02-06 17:19:15
"  75772","15-6034",2017-02-13 06:04:39,"2ED4",91,3.95,19.4,0,78,2528,100,0,17.8,0,5,564403.597301006,2017-02-13 06:05:58
"  93068","15-6034",2017-02-13 15:17:32,"2ED4",90.4,3.95,22.4,0,106,-2516,100,31,10.7,0,5,33172.8610551357,2017-02-13 15:18:51
" 111557","15-6034",2017-02-13 20:08:45,"2ED4",83.2,3.96,17.8,0,119,-1605,100,51,7.4,0,5,17472.6322989464,2017-02-13 20:10:04
" 141876","15-6034",2017-02-14 02:32:33,"2ED4",90.2,3.95,14.5,0,126,-2376,100,48,8.4,0,5,23028.7145140171,2017-02-14 02:33:52
"  49094","15-6034",2017-02-11 10:16:34,"2ED6",91.1,3.97,20.2,0,84,-2424,100,0,18.5,0,5,NA,2017-02-11 10:17:53
"  76477","15-6034",2017-02-13 06:53:44,"2ED6",95.2,3.96,19.5,0,102,-405,100,16,16.1,0,5,160629.29851985,2017-02-13 06:55:03
"  82595","15-6034",2017-02-13 11:05:37,"2ED6",83.6,3.94,17.3,0,134,-1792,100,49,8.7,0,5,15113.0216841698,2017-02-13 11:06:56
"  10156","15-6034",2017-02-07 02:57:46,"2ED7",96.1,4.01,21.4,0,88,-2522,100,0,18.9,0,5,NA,2017-02-07 02:59:05
"  25211","15-6034",2017-02-09 08:49:18,"2ED7",96.1,3.98,21.6,0,96,-148,100,0,19.6,0,5,193892.577192068,2017-02-09 08:50:37
"  88775","15-6034",2017-02-13 13:44:26,"2ED9",90.7,3.95,20.8,0,90,217,100,16,15,0,5,NA,2017-02-13 13:45:45
" 121336","15-6034",2017-02-13 20:19:30,"2ED9",89.7,3.95,18.3,0,128,-1869,100,51,8,0,5,23704.1823740005,2017-02-13 20:20:49
" 127636","15-6034",2017-02-13 21:06:05,"2ED9",90.1,3.95,17,0,84,1928,100,5,18.5,0,5,2794.39666104317,2017-02-13 21:07:24
"  69476","15-6034",2017-02-12 21:07:15,"2EDA",91.1,3.96,20.6,0,82,-2507,100,0,18.3,0,5,NA,2017-02-12 21:08:34
"  99358","15-6034",2017-02-13 17:05:26,"2EDA",89.9,3.95,20.2,0,117,-1873,100,20,15.3,0,5,71891.1331768036,2017-02-13 17:06:45
" 114241","15-6034",2017-02-13 20:11:19,"2EDA",89.7,3.94,17.6,0,127,2330,100,57,7,0,5,11153.3692650795,2017-02-13 20:12:38
" 125811","15-6034",2017-02-13 20:25:04,"2EDA",89.8,3.94,17.4,0,118,752,100,59,6,0,5,824.348510980606,2017-02-13 20:26:23
" 149978","15-6034",2017-02-14 09:39:00,"2EDA",89.6,3.93,11,0,107,2824,100,16,16.5,0,5,47636.0388240814,2017-02-14 09:40:19
" 101936","15-6034",2017-02-13 19:52:04,"2EDB",95.1,3.95,17.2,0,130,1989,100,53,7.8,0,5,NA,2017-02-13 19:53:23
"   9296","15-6034",2017-02-07 01:28:32,"2EDD",96.3,4,21.6,0,95,-1276,100,0,19.6,0,5,NA,2017-02-07 01:29:51
