"Detection","RecSN","dtf","Hex","Tilt","Volt","Temp","Pres","Amp","Freq","Thresh","nbw","snr","Valid","nPRI","tdiff","winmax"
" 101295","15-6034",2017-02-13 19:07:26,"00CA",90.1,3.96,17.4,0,15343,-324,100,16,59.6,1,5,5.10002899169922,2017-02-13 19:08:45
" 101297","15-6034",2017-02-13 19:07:32,"00CA",90.2,3.95,17.6,0,15100,-339,100,17,59,1,5,5.0990788936615,2017-02-13 19:08:51
" 101298","15-6034",2017-02-13 19:07:37,"00CA",90.2,3.95,17.6,0,14478,-341,100,24,55.6,1,5,5.09850215911865,2017-02-13 19:08:56
" 151009","15-6034",2017-02-14 10:11:59,"00CA",90.8,3.94,13.1,0,14607,145,200,21,56.8,1,5,5.05771684646606,2017-02-14 10:13:18
" 151010","15-6034",2017-02-14 10:12:04,"00CA",90.8,3.94,13.1,0,14081,415,200,17,58.4,1,5,5.05747699737549,2017-02-14 10:13:23
" 151011","15-6034",2017-02-14 10:12:09,"00CA",90.9,3.95,13,0,14360,307,200,25,55.2,1,5,5.05772113800049,2017-02-14 10:13:28
" 151012","15-6034",2017-02-14 10:12:14,"00CA",90.9,3.95,13,0,13815,13,200,22,56,1,5,5.05711197853088,2017-02-14 10:13:33
" 151013","15-6034",2017-02-14 10:12:24,"00CA",90.9,3.94,12.9,0,16151,-294,200,28,55.2,1,5,10.1146519184113,2017-02-14 10:13:43
" 153317","15-6034",2017-06-09 11:38:47,"00CA",93.6,3.2,21.2,0,13504,90,100,29,53.4,1,5,5.02639222145081,2017-06-09 11:40:06
" 153318","15-6034",2017-06-09 11:38:57,"00CA",93.4,3.21,20.5,0,13512,-278,100,16,58.5,1,5,10.0526068210602,2017-06-09 11:40:16
" 153319","15-6034",2017-06-09 11:39:02,"00CA",93.4,3.21,20.5,0,15096,344,100,41,51.3,1,5,5.02594113349915,2017-06-09 11:40:21
" 153320","15-6034",2017-06-09 11:39:12,"00CA",94.2,3.19,21.2,0,14502,430,100,23,56,1,5,10.0524959564209,2017-06-09 11:40:31
